"team","player_id_1","player_name_1","sorare_slug_1","player_id_2","player_name_2","sorare_slug_2","name_similarity","confidence","recommended_action","claude_decision","claude_final_slug","claude_notes"
"Atlético de Madrid","bc05cdd3-951e-4e9d-a6cf-f474219ad3cb","Ortiz","arnau-ortiz-sanchez","ab91b83f-480f-4ee3-9eed-654825d0fcef","Arnau Ortiz","arnau-ortiz-sanchez","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","arnau-ortiz-sanchez","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas. Duplicado casi seguro."
"Deportivo Alavés","ca95918f-3551-455c-bf12-abeeaec28383","A. Rebbach","abderrahman-rebbach","81ad7029-6141-4ec0-a86a-a09cdcd1fe31","Abde Rebbach","","1/2","possible_initial_alias","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","abderrahman-rebbach","Confirmado en fuentes oficiales (Wikipedia, LaLiga, Transfermarkt): 'Abde' es el apodo habitual de Abderrahman Rebbach, delantero del Alavés. Misma persona con certeza. Fusionar y aplicar este slug a ambos player_id."
"Levante UD","f08c8cbb-8822-473c-be27-c3aa813f218a","Ryan","mathew-ryan","5a48c41a-10ea-41ca-968f-39c5d35d0853","Mathew Ryan","mathew-ryan","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","mathew-ryan","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas. Duplicado casi seguro."
"Deportivo Alavés","7f36e34a-c829-41c1-afe4-8b798f13ba75","Oláiz","","c0150e31-ac62-4fba-8bff-31d36e1453d0","X. Olaiz","","1/2","high_name_match","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_LIKELY","xanet-olaiz-ibarzabal","Confirmado en fuentes oficiales: existe un único jugador con ese apellido en el Alavés, Xanet Oláiz Ibarzábal (nacido 18/07/2005). El slug exacto en Sorare aún no está confirmado (ver mapping-audit-reviewed.csv) pero la identidad real es la misma persona. Fusionar player_id."
"Racing de Santander","916c770e-78a3-4094-bc9e-f13b0f9b567b","Eriksson","lars-simon-albin-eriksson","95e66feb-6a70-421f-97ba-451b6a7d9211","Simon Eriksson","lars-simon-albin-eriksson","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","lars-simon-albin-eriksson","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas. Duplicado casi seguro."
"Real Madrid","054fdbdc-eb22-4d4f-8fc9-700fdedbe889","Aurélien Tchouaméni","aurelien-tchouameni","1edddec9-b341-4131-a26c-5bc471d9b5b4","Tchouameni","aurelien-tchouameni","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","aurelien-tchouameni","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas (solo difiere el acento). Duplicado casi seguro."
"Elche CF","473c30b5-67ce-4476-8533-27708a5e7088","Federico Redondo","federico-redondo-solari","4d110094-84d7-48ec-bc2b-b587b8f41faa","Fede Redondo","federico-redondo-solari","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","federico-redondo-solari","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas. Duplicado casi seguro."
"Real Madrid","3a2f38e9-9bb0-44fb-96c5-b49fe02b8ce4","Fede Valverde","federico-santiago-valverde-dipetta","39dd8643-4a50-4890-b2a8-20d28af3216d","Federico Valverde 1.º","federico-santiago-valverde-dipetta","1/3","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","federico-santiago-valverde-dipetta","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas. Duplicado casi seguro."
"Atlético de Madrid","d2a836c4-c716-46da-b81a-41e69b5ae278","Alexander Sørloth","","be0ce18a-2cf9-4dd8-80b3-bc10daead4c2","Alexander Sorloth","","2/2","high_name_match","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_LIKELY","alexander-sorloth","Es el mismo nombre exacto, solo cambia la ø nórdica por o. Delantero del Atlético de Madrid, identidad inequívoca. Slug candidato sin confirmar todavía en Sorare (probad variantes con/sin ø vía vuestra API)."
"Levante UD","e9b10bb1-fff6-4dfa-b17d-1cfe6ad446ab","Enzo Bardelli","enzo-bardeli","c9e2d658-fa70-4d58-8e43-924089e92154","Enzo Bardeli","enzo-bardeli","1/2","confirmed_same_sorare_slug","VERIFY_IDENTITY_BEFORE_MERGE","MERGE_CONFIRMED","enzo-bardeli","Mismo slug ya confirmado por vuestro auditor vía API para ambas filas (solo difiere una letra). Duplicado casi seguro."
